seller_id,seller_name,origin
1,TechWorld Electronics,USA
2,Urban Fashion Hub,China
3,Maple Gadgets,Canada
4,Dragon Tech,India
5,BritMart,UK
6,Prime Electronics,USA
7,Elite Fashion Store,China
8,Smart Living Home,Canada
9,Happy Pets Store,India
10,PlayZone Toys,UK
11,Outdoor Sports Hub,USA
12,Gadget Galaxy,China
13,Modern Home Store,Canada
14,TechNest,India
15,Fashion Avenue,UK
16,Digital Bazaar,USA
17,Mega Deals Store,China
18,Value Cart,Canada
19,NextGen Retail,India
20,Home Essentials,UK
21,Style Junction,USA
22,Electro Point,China
23,Daily Needs Hub,Canada
24,Global Traders,India
25,Urban Mart,UK
26,Retail Connect,USA
27,Infinity Store,China
28,Choice Retail,Canada
29,Bright Commerce,India
30,Trendy Collections,UK
31,QuickBuy Hub,USA
32,Future Retail,China
33,Skyline Traders,Canada
34,BluePeak Store,India
35,Golden Cart,UK
36,Fresh Finds,USA
37,Metro Supplies,China
38,Capital Traders,Canada
39,Nova Retail,India
40,EverGreen Store,UK
41,Crystal Commerce,USA
42,Alpha Deals,China
43,Zenith Retail,Canada
44,Smart Choice,India
45,Peak Marketplace,UK
46,Royal Traders,USA
47,Fusion Retail,China
48,EcoMart,Canada
49,Vertex Store,India
50,Swift Sellers,UK
51,Vista Commerce,USA
52,Cloud Retail,China
53,Bright Basket,Canada
54,Trusted Traders,India
